cost        CG2        HBCS        ScaleStar        OPT
1        28.92        31.29        26.91        26.76
2        28.92        26.91        25.83        25.67
3        26.73        25.83        19.3        19.15
4        25.69        24.72        18.22        18.06
5        22.44        23.64        17.12        16.96
6        15.88        23.62        16.01        15.34
7        15.88        23.62        16.01        15.34
8        15.88        23.58        15.97        14.26
9        18.64        16.01        16.01        13.16
10        12.07        15.97        12.17        12.07
11        12.07        15.95        12.14        12.07
12        18.64        12.21        12.21        11.71
13        18.64        12.17        12.17        11.71
14        11.34        12.14        12.14        10.8
15        18.28        12.14        12.14        10.8
16        10.98        10.94        12.21        10.44
17        17.01        10.94        12.21        10.44
18        17.01        10.88        12.14        10.07
19        17.01        10.87        12.14        10.07
20        9.71        9.71        12.07        9.71
