cost        CG2        HBCS        ScaleStar        OPT
1        81.2        81.36        81.36        81.2
2        67.9        72.39        72.39        67.9
3        55.66        60.15        60.15        55.66
4        46.69        67.91        46.85        46.69
5        46.69        55.67        46.85        46.69
6        46.69        42.36        42.36        42.21
7        42.21        42.3        42.3        40.04
8        49.01        49.52        36.22        36.09
9        42.89        49.48        36.18        35.56
10        42.89        36.18        36.18        33.92
11        42.89        36.15        34.11        33.92
12        29.44        36.15        29.5        29.44
13        29.44        29.57        29.57        29.44
14        29.44        29.5        27.46        27.4
15        27.94        29.5        27.46        27.22
16        40.67        27.35        27.53        27.22
17        38.63        27.29        27.47        25.9
18        38.63        27.28        27.46        25.18
19        38.63        27.28        27.46        25.18
20        23.68        23.68        27.4        23.68
