cost        CG2        HBCS        ScaleStar        OPT
1        82.1        81.88        82.26        81.53
2        81.46        81.81        64.68        64.21
3        64.59        64.36        64.75        64.02
4        63.95        64.3        47.68        47.21
5        46.95        47.32        47.7        46.95
6        46.95        55.61        47.75        46.95
7        46.95        55.55        38.93        38.45
8        38.2        55.33        38.91        38.2
9        38.2        38.4        38.97        38.2
10        38.2        38.33        38.91        38.2
11        30.34        38.33        30.4        29.95
12        29.7        38.33        30.4        29.7
13        29.7        29.9        30.47        29.7
14        29.7        29.83        27.57        27.12
15        29.7        29.83        27.57        26.93
16        27.42        27.06        27.64        26.86
17        26.78        27        27.57        26.78
18        26.78        26.99        27.57        26.78
19        24.58        26.99        27.57        24.2
20        23.95        23.95        27.5        23.95
