cost        CG2        HBCS        ScaleStar        OPT
1        91.2        91.36        91.36        91.2
2        76.37        77.25        77.25        76.37
3        76.37        77.21        67.39        66.55
4        62.26        62.42        62.42        62.26
5        52.44        62.37        52.56        52.44
6        59.13        70.19        52.6        52.44
7        59.13        55.36        47.69        47.53
8        45.02        55.34        45.52        45.02
9        45.02        45.52        45.52        45.02
10        45.02        45.46        40.55        40.12
11        54.23        47.92        38.11        37.97
12        54.23        38.11        38.11        37.97
13        33.06        38.04        33.13        33.06
14        51.75        33.2        33.2        33.06
15        51.75        33.13        30.78        30.71
16        51.75        31.52        30.8        30.71
17        30.59        31.49        29.14        29.07
18        30.59        30.72        29.21        28.95
19        50.12        29.09        29.21        28.24
20        26.6        26.6        29.07        26.6
