cost        CG2        HBCS        ScaleStar        OPT
1        80.9        81.06        81.06        80.9
2        68.58        67.16        67.16        67
3        54.68        59        59        54.68
4        60.42        59        54.92        54.68
5        46.52        60.21        46.68        46.52
6        46.52        52.05        42.6        42.44
7        46.52        52.01        42.55        42.44
8        54.25        47.95        39.71        39.57
9        50.17        47.91        35.58        35.49
10        50.17        35.63        35.63        33.41
11        50.17        35.56        35.56        33.41
12        29.33        35.55        29.39        29.33
13        29.33        29.46        29.46        29.33
14        29.33        29.4        29.4        27.97
15        29.33        29.39        27.34        27.01
16        46.76        27.41        27.41        27.01
17        46.76        27.34        27.34        25.91
18        46.76        27.34        27.34        24.96
19        46.76        27.34        27.34        24.96
20        23.6        23.6        27.27        23.6
