cost        CG2        HBCS        ScaleStar        OPT
1        48.4        47.96        47.96        47.51
2        47.41        40.78        40.78        40.62
3        47.41        40.78        40.78        35.01
4        40.23        40.74        40.74        27.83
5        28.43        27.99        27.99        27.53
6        27.43        27.99        27.99        27.43
7        27.43        35.99        27.99        27.43
8        27.43        35.97        27.97        21.43
9        27.43        35.97        24.38        21.43
10        21.04        35.93        23.14        21.04
11        21.04        23.18        23.18        21.04
12        28.62        23.18        23.18        17.84
13        18.44        23.11        17.92        16.65
14        17.45        23.11        16.71        16.35
15        17.45        16.78        16.78        16.25
16        17.45        16.78        16.78        16.25
17        17.45        16.48        16.78        15.71
18        16.31        16.44        16.74        15.71
19        16.31        16.42        14.59        14.22
20        14.12        14.12        14.51        14.12
