cost        CG2        HBCS        ScaleStar        OPT
1        29.8        28.51        28.51        28.36
2        25        28.51        23.71        21.94
3        18.58        23.71        17.29        17.13
4        16.17        22.75        16.33        16.17
5        16.17        22.75        16.33        16.17
6        16.17        21.31        16.33        16.17
7        16.17        16.31        14.87        13.93
8        13.77        21.29        13.91        12.96
9        17.77        20.32        13.91        12.96
10        17.77        20.32        14.07        12.96
11        17.77        13.91        11.66        11.52
12        10.56        13.91        10.7        10.56
13        10.56        13.86        10.66        10.56
14        10.8        13.84        10.8        10.56
15        10.8        10.7        9.9        9.76
16        10        10.7        9.9        9.49
17        10        10.66        9.85        9.49
18        16.94        10.63        9.83        9.49
19        16.94        9.63        9.9        8.69
20        8.69        8.69        9.76        8.69
