cost        CG2        HBCS        ScaleStar        OPT
1        107.6        107.76        107.76        107.6
2        92.6        91.1        91.1        90.94
3        75.94        76.1        76.1        75.94
4        78.53        76.05        76.05        75.94
5        61.87        82.77        62.03        61.87
6        61.87        82.7        54.93        54.84
7        54.37        67.72        54.48        54.37
8        54.37        53.7        53.7        53.54
9        64        60.24        53.68        47.34
10        64        60.2        46.13        46.04
11        64        46.18        46.18        44.99
12        39        46.1        39.07        39
13        39        39.1        39.1        39
14        39        39.07        39.07        39
15        36.5        39.07        36.29        36.23
16        36.5        36.73        36.3        36.23
17        59.15        36.73        36.29        33.88
18        59.15        36.73        36.29        33.73
19        59.15        36.73        36.29        33.73
20        31.38        31.38        36.23        31.38
