cost        CG2        HBCS        ScaleStar
2        853.45        853.45        853.45
3        767.18        767.18        767.18
4        560.62        560.62        560.62
5        560.62        584.85        560.62
6        499.85        578.26        499.85
7        456.71        456.71        456.71
8        414.21        480.94        414.21
9        395.94        395.94        395.94
10        353.44        422.08        353.44
11        339.27        446.3        339.27
12        333.18        361.3        333.18
13        318.8        341.04        318.8
14        304.63        341.04        304.63
15        298.54        298.54        298.54
16        284.38        284.38        284.38
17        274.25        277.29        284.38
18        274.25        277.29        284.38
19        267.06        277.29        284.38
20        256.93        277.29        284.38
21        249.84        249.84        284.38
