cost        CG2        HBCS        ScaleStar        OPT
1        97.7        95.18        95.18        95.02
2        97.7        79.75        77.07        76.92
3        76.96        77.07        75.29        74.28
4        58.86        75.29        59.01        58.86
5        58.86        56.34        56.34        56.18
6        56.18        68.02        54.55        54.39
7        56.18        66.24        54.55        54.39
8        45.81        66.22        47.26        45.81
9        63.91        47.26        45.48        44.02
10        63.91        45.48        45.48        44.02
11        63.91        45.41        45.41        39.43
12        36.76        39.57        36.89        36.76
13        36.76        36.85        35.06        34.97
14        36.76        35.06        35.06        34.97
15        36.76        35.04        35.04        33.74
16        59.12        35.04        32.02        31.95
17        59.12        33.43        32.09        31.51
18        59.12        31.65        32.09        31.51
19        59.12        31.59        32.03        31.51
20        28.5        28.5        31.95        28.5
