cost        CG2        HBCS        ScaleStar        OPT
1        70.61        70.77        70.77        70.61
2        64.96        70.77        70.77        63.22
3        64.96        56.79        56.79        56.63
4        44.39        67.43        44.5        44.39
5        44.39        53.49        44.55        44.39
6        44.39        53.43        41.19        41.1
7        41.1        41.21        41.21        37.4
8        44.86        46.48        41.23        37.4
9        58.84        46.44        34.2        34.11
10        37.87        34.24        34.24        31.28
11        37.87        34.18        34.18        31.28
12        27.98        34.17        28.05        27.98
13        27.98        28.12        28.12        27.98
14        27.98        28.06        28.06        26.89
15        26.89        28.05        26.01        25.94
16        35.83        26.08        26.08        25.65
17        33.5        26.02        26.02        24.56
18        33.5        26.01        26.01        24.56
19        33.5        26.01        26.01        23.61
20        22.52        22.52        25.94        22.52
