cost        CG2        HBCS        ScaleStar
2        10383.29        17630.98        10399.86
3        7253.94        12164.27        7262.44
4        6158.74        8722.29        6841.98
5        5537.93        5779.7        6841.98
6        5148.37        5156.46        6841.98
7        4895.59        5013.75        6841.98
8        4713.52        4888.92        6841.98
9        4574.46        4787.92        6841.98
10        4460.79        4721.92        6841.98
11        4368.79        4654.93        6841.98
12        4293.71        4592.74        6841.98
13        4231        4547.37        6841.98
14        4176.63        4499.11        6841.98
15        4133.02        4472.09        6841.98
16        4092.52        4439.33        6841.98
17        4057.34        4413.46        6841.98
18        4026.41        4379.58        6841.98
19        3998.76        4359.4        6841.98
20        3972.5        4332.86        6841.98
21        3950.48        3950.48        6841.98
