cost        CG2        HBCS        ScaleStar
1        10912.45        18420.43        10915.35
2        7616.79        12775.4        7626.78
3        6464.47        9277.06        7188.18
4        5812        6083        7188.18
5        5403.77        5411.83        7188.18
6        5140.33        5263.46        7188.18
7        4945.9        5132.47        7188.18
8        4797.24        5017.19        7188.18
9        4681.41        4940.41        7188.18
10        4583.42        4880.09        7188.18
11        4505.73        4818.39        7188.18
12        4439.85        4770.8        7188.18
13        4383.48        4730.06        7188.18
14        4335.06        4691.53        7188.18
15        4294        4656.16        7188.18
16        4257.9        4624.3        7188.18
17        4224.14        4598.83        7188.18
18        4195.57        4572.72        7188.18
19        4167.99        4552.13        7188.18
20        4144.57        4144.57        7188.18
