cost        CG2        HBCS        ScaleStar
1        12203.38        20586.39        12223.14
2        8538.6        14525.64        8547.38
3        7228.53        10275.41        8042.06
4        6511.12        6825.7        8042.06
5        6056.19        6060.65        8042.06
6        5757.71        5887.2        8042.06
7        5542.01        5752.68        8042.06
8        5373.74        5621.14        8042.06
9        5244.61        5541.84        8042.06
10        5139.52        5469.55        8042.06
11        5051.79        5398.46        8042.06
12        4977.21        5350.77        8042.06
13        4911.81        5311.2        8042.06
14        4858.02        5262.95        8042.06
15        4810.88        5221.8        8042.06
16        4770.45        5188.3        8042.06
17        4733.6        5158.66        8042.06
18        4700.96        5125.9        8042.06
19        4670.56        5101.61        8042.06
20        4644.1        4644.1        8042.06
