cost        CG2        HBCS        ScaleStar
2        11359.15        19437.66        11365.52
3        7936.55        13441.34        7940.66
4        6732.68        9808.42        7482.9
5        6063.37        6290.48        7482.9
6        5630.53        5641.36        7482.9
7        5354.11        5484.23        7482.9
8        5156.44        5342.32        7482.9
9        4999.44        5240.01        7482.9
10        4877.03        5154.78        7482.9
11        4777.1        5091.52        7482.9
12        4695.33        5025.76        7482.9
13        4626.41        4973.48        7482.9
14        4566.42        4929.58        7482.9
15        4516.77        4882.82        7482.9
16        4473.23        4843.95        7482.9
17        4434.54        4818.1        7482.9
18        4400.91        4795.59        7482.9
19        4370.54        4773.46        7482.9
20        4341.44        4739.77        7482.9
21        4316.92        4316.92        7482.9
