cost        CG2        HBCS        ScaleStar
1        10201.16        16053.2        10206.9
2        7103.12        12119.97        7108.58
3        5944.29        8210.68        6260.21
4        5320.38        6231.85        6260.21
5        4931.75        4941.81        6260.21
6        4667.07        4769.75        6260.21
7        4470.17        4622.65        6260.21
8        4324.84        4536.26        6260.21
9        4207.13        4475.69        6260.21
10        4114.06        4399.73        6260.21
11        4034.34        4343.4        6260.21
12        3968.42        4294.56        6260.21
13        3914.54        4241.72        6260.21
14        3866.33        4210.48        6260.21
15        3824.36        4181.28        6260.21
16        3787.79        4151.84        6260.21
17        3756.17        4125.82        6260.21
18        3725.85        4105.51        6260.21
19        3699.13        4085.8        6260.21
20        3676.05        3676.05        6260.21
