cost        CG2        HBCS        ScaleStar
2        9726.2        15472.31        9744.05
3        6776.77        11659.74        6779.53
4        5664.76        7729.15        5974.58
5        5076.23        5766.89        5974.58
6        4705.87        4720.89        5974.58
7        4451.24        4537.82        5974.58
8        4267.3        4408.77        5974.58
9        4126.02        4320.27        5974.58
10        4015.38        4248.31        5974.58
11        3923.94        4193.68        5974.58
12        3849.33        4140.78        5974.58
13        3786.36        4094.8        5974.58
14        3733.56        4068.76        5974.58
15        3690.09        4035.13        5974.58
16        3648.16        3988.88        5974.58
17        3613.32        3957.79        5974.58
18        3582.1        3933.13        5974.58
19        3554.29        3911.77        5974.58
20        3528.57        3886.09        5974.58
21        3506.69        3506.69        5974.58
