cost        CG2        HBCS        ScaleStar
2        10318.15        16248.35        10330.69
3        7190.29        12012.14        7188.95
4        6011.87        8248.14        6339.23
5        5383.43        6298.32        6339.23
6        4990.41        5044.07        6339.23
7        4724.8        4823.62        6339.23
8        4526.98        4682.54        6339.23
9        4376.95        4594.05        6339.23
10        4258.52        4520.25        6339.23
11        4161.98        4461.07        6339.23
12        4083.28        4391.97        6339.23
13        4017.27        4340.09        6339.23
14        3961.82        4291.08        6339.23
15        3912.41        4263.14        6339.23
16        3870.98        4232.58        6339.23
17        3833.48        4195.05        6339.23
18        3801.05        4180.35        6339.23
19        3771.84        4158.52        6339.23
20        3743.73        4126.62        6339.23
21        3720.58        3720.58        6339.23
