cost        CG2        HBCS        ScaleStar
2        5899.78        8684.52        5901.26
3        4606.29        6778.67        4613.51
4        3653.08        5236.78        3654.57
5        3255.74        3612.81        3217.81
6        2930.94        3020.5        3069.35
7        2753.09        2751.14        3069.35
8        2584.52        2632.93        3069.35
9        2461.6        2589.87        3069.35
10        2381.32        2545.54        3069.35
11        2297.69        2506.21        3069.35
12        2244.93        2435.81        3069.35
13        2186.62        2400.46        3069.35
14        2145.95        2372.16        3069.35
15        2106.21        2357.66        3069.35
16        2071.35        2327.26        3069.35
17        2043.31        2313.28        3069.35
18        2015.74        2302.54        3069.35
19        1993.04        2273.49        3069.35
20        1971.42        2264.82        3069.35
21        1952.62        1952.62        3069.35
