cost        CG2        HBCS        ScaleStar
1        5960.91        8863.31        5947.24
2        4642.35        7039.7        4654.89
3        3683.34        5421.3        3683.62
4        3247.46        3684.32        3244.45
5        2954.11        3044.66        3098.08
6        2763.05        2763.33        3098.08
7        2600.1        2648.34        3098.08
8        2481.17        2600.87        3098.08
9        2395.64        2556.72        3098.08
10        2317.3        2504.71        3098.08
11        2261.04        2479.31        3098.08
12        2204.28        2421.92        3098.08
13        2158.51        2395.03        3098.08
14        2119.85        2363.23        3098.08
15        2087.27        2350.9        3098.08
16        2060.35        2336.46        3098.08
17        2032.97        2322        3098.08
18        2009.61        2293.06        3098.08
19        1987.82        2270.22        3098.08
20        1968.57        1968.57        3098.08
