cost        CG2        HBCS        ScaleStar
2        6469.56        9514.9        6453.84
3        5041.56        7451.6        5050.77
4        3993.94        5662.7        3993.94
5        3520.2        3859.81        3523.89
6        3203.4        3501.29        3360.62
7        2988.71        2975.47        3360.62
8        2820.53        2882.14        3360.62
9        2690.95        2814.23        3360.62
10        2595.03        2780.95        3360.62
11        2513.07        2726.03        3360.62
12        2450.75        2686.41        3360.62
13        2390.34        2646.09        3360.62
14        2342.05        2602.24        3360.62
15        2301.87        2562.73        3360.62
16        2265.3        2548.31        3360.62
17        2236.55        2527.01        3360.62
18        2204.83        2508.99        3360.62
19        2178.42        2499.77        3360.62
20        2155.42        2469.11        3360.62
21        2133.96        2133.96        3360.62
