cost        CG2        HBCS        ScaleStar
1        10922.46        17690.76        10939.25
2        7625.81        13072.54        7626.66
3        6391.4        8611.79        6874.48
4        5753.77        6438.29        6874.48
5        5339.85        5357.55        6874.48
6        5059.85        5149.64        6874.48
7        4851.08        5026.95        6874.48
8        4694.32        4940.24        6874.48
9        4570.09        4847.05        6874.48
10        4474.23        4762.39        6874.48
11        4389.48        4718.59        6874.48
12        4319.61        4661.46        6874.48
13        4261.97        4613.56        6874.48
14        4211.67        4570.64        6874.48
15        4168.49        4536.2        6874.48
16        4127.63        4504.74        6874.48
17        4092.94        4486.01        6874.48
18        4061.11        4460.98        6874.48
19        4032.96        4441.7        6874.48
20        4008.94        4008.94        6874.48
