cost        CG2        HBCS        ScaleStar
1        10528.65        17229.84        10547.14
2        7348.3        12683.06        7351.63
3        6155.82        8348.3        6620.49
4        5526.63        6307.3        6620.49
5        5138.78        5161.79        6620.49
6        4866.24        4948.21        6620.49
7        4675.95        4833.16        6620.49
8        4521.85        4734.32        6620.49
9        4404.02        4648.47        6620.49
10        4305.49        4596.95        6620.49
11        4226.46        4541.66        6620.49
12        4161.93        4505.26        6620.49
13        4105.08        4456.69        6620.49
14        4056.32        4406.51        6620.49
15        4014.26        4373.81        6620.49
16        3976.48        4349.65        6620.49
17        3942.27        4315.83        6620.49
18        3912.59        4294.82        6620.49
19        3885.82        4264.34        6620.49
20        3863.21        3863.21        6620.49
