cost        CG2        HBCS        ScaleStar
2        9890.34        15942.94        9903.09
3        6894.3        11751.31        6902.16
4        5785.76        8083.9        6224.22
5        5198.08        6027.58        6224.22
6        4828.88        4843.21        6224.22
7        4571.39        4650.17        6224.22
8        4385.96        4550.39        6224.22
9        4244.07        4459.26        6224.22
10        4135.37        4361.09        6224.22
11        4045.59        4309.67        6224.22
12        3969.01        4264.51        6224.22
13        3908.96        4222.18        6224.22
14        3856.68        4178.29        6224.22
15        3811.37        4139.1        6224.22
16        3771.37        4114.41        6224.22
17        3733.52        4085.55        6224.22
18        3702.96        4052.79        6224.22
19        3674.56        4023.76        6224.22
20        3649.29        4006.97        6224.22
21        3628.11        3628.11        6224.22
