cost        CG2        HBCS        ScaleStar
2        9968.15        16302.95        9978.35
3        6954.55        12008.36        6958.3
4        5831.73        7842.55        6273.34
5        5240.86        6006.17        6273.34
6        4869.43        4879.56        6273.34
7        4615.43        4687.39        6273.34
8        4426.52        4587.54        6273.34
9        4284.72        4492.24        6273.34
10        4173.19        4416.58        6273.34
11        4077.26        4353.07        6273.34
12        4004.48        4303.17        6273.34
13        3941.91        4252.02        6273.34
14        3888.29        4213.22        6273.34
15        3844.51        4168.66        6273.34
16        3803.97        4139.06        6273.34
17        3766.07        4116.43        6273.34
18        3734.21        4090.02        6273.34
19        3706.26        4069.4        6273.34
20        3680.89        4043.5        6273.34
21        3659.27        3659.27        6273.34
