cost        CG2        HBCS        ScaleStar
1        10624.14        17315.16        10642.41
2        7415.03        12500.68        7422.12
3        6211.68        8572.5        6677.94
4        5575.12        6509.51        6677.94
5        5182.37        5191.84        6677.94
6        4910.89        4986.72        6677.94
7        4712.43        4888.87        6677.94
8        4557.84        4780.41        6677.94
9        4440.49        4692.23        6677.94
10        4344.14        4632.63        6677.94
11        4262.83        4574.58        6677.94
12        4197.45        4540.72        6677.94
13        4140.86        4488.68        6677.94
14        4093.63        4450.15        6677.94
15        4049.45        4416.2        6677.94
16        4012.17        4380.74        6677.94
17        3977.04        4351.54        6677.94
18        3947.42        4323.23        6677.94
19        3919.37        4307.67        6677.94
20        3896.58        3896.58        6677.94
