cost        CG2        HBCS        ScaleStar
2        10676.21        17503.84        10685.56
3        7442.39        12657.99        7443.31
4        6239.28        8512.36        6708.09
5        5606.62        6352.37        6708.09
6        5213.19        5230.06        6708.09
7        4939.24        5019.44        6708.09
8        4737.76        4903.09        6708.09
9        4582.6        4816.11        6708.09
10        4464.05        4727.67        6708.09
11        4364.81        4653.17        6708.09
12        4283.8        4605.45        6708.09
13        4218.44        4556.02        6708.09
14        4160.92        4516.4        6708.09
15        4113.13        4472.46        6708.09
16        4069.34        4437.8        6708.09
17        4030.91        4400.17        6708.09
18        3997.04        4369.25        6708.09
19        3965.65        4346.72        6708.09
20        3938.67        4331.55        6708.09
21        3915.65        3915.65        6708.09
