cost        CG2        HBCS        ScaleStar
1        10772.35        17758.71        10792.96
2        7514.87        12636.33        7520.68
3        6298.48        8787.11        6778.48
4        5659.28        6430.39        6778.48
5        5261.85        5282.04        6778.48
6        4984.93        5064.74        6778.48
7        4781.68        4954.03        6778.48
8        4630.95        4853.63        6778.48
9        4507.63        4774.49        6778.48
10        4409.23        4708.54        6778.48
11        4328.17        4651.71        6778.48
12        4260.49        4596.11        6778.48
13        4203.07        4558.84        6778.48
14        4155.79        4514.52        6778.48
15        4111.91        4479.89        6778.48
16        4072.62        4445.54        6778.48
17        4037.68        4419.79        6778.48
18        4006.76        4398.59        6778.48
19        3979.34        4374.66        6778.48
20        3956.5        3956.5        6778.48
