cost        CG2        HBCS        ScaleStar
2        9656.7        15603.04        9657.76
3        6727.95        11447.35        6734.97
4        5645.48        7694.79        6075.65
5        5073        5580.79        6075.65
6        4713.37        4733.78        6075.65
7        4462.97        4545.44        6075.65
8        4281.16        4438.03        6075.65
9        4150.26        4336.31        6075.65
10        4039.08        4267.01        6075.65
11        3948.61        4213.17        6075.65
12        3875.64        4161.03        6075.65
13        3814.99        4112.63        6075.65
14        3765.71        4082.89        6075.65
15        3720.3        4049.33        6075.65
16        3680.9        4014.76        6075.65
17        3647.85        3990.96        6075.65
18        3615.53        3962.13        6075.65
19        3587.57        3934.74        6075.65
20        3563.03        3912.01        6075.65
21        3542.14        3542.14        6075.65
