|V|=20, |E|=80

id   workload
0      1
1      925
2      181
3      43
4      73
5      551
6      901
7      698
8      738
9      149
10      30
11      227
12      37
13      235
14      890
15      186
16      985
17      930
18      541
19      1

src    dst
0      17
0      1
0      2
0      3
0      10
0      11
0      4
0      5
0      6
1      7
1      4
1      2
1      3
1      5
2      7
2      9
2      3
2      4
2      5
3      13
3      4
3      5
3      6
4      5
4      6
4      7
4      8
5      14
5      6
5      7
5      8
5      9
6      8
6      7
6      9
6      10
7      14
7      8
7      9
7      10
8      15
8      9
8      10
8      11
9      15
9      10
9      11
9      12
10      12
10      11
10      13
10      14
11      12
11      13
11      14
11      15
12      16
12      13
12      14
12      15
13      19
13      14
13      15
13      16
14      19
14      15
14      16
14      17
15      18
15      16
15      17
16      17
16      18
16      19
17      19
17      18
17      19
18      19
18      19
18      19
