|V|=20, |E|=80

id   workload
0      1
1      579
2      339
3      381
4      714
5      441
6      113
7      824
8      523
9      262
10      745
11      342
12      904
13      849
14      477
15      572
16      190
17      683
18      888
19      1

src    dst
0      12
0      1
0      2
0      3
0      6
0      4
0      5
0      7
1      11
1      4
1      8
1      10
1      14
1      2
1      3
1      5
2      5
2      3
2      4
2      6
3      18
3      4
3      5
3      6
4      11
4      7
4      5
4      6
4      8
5      13
5      6
5      7
5      8
6      16
6      7
6      8
6      9
7      16
7      9
7      8
7      10
7      11
8      15
8      9
8      10
8      11
9      18
9      10
9      11
9      12
10      19
10      11
10      12
10      13
11      17
11      12
11      13
11      14
12      19
12      13
12      14
12      15
13      19
13      14
13      15
14      19
14      15
14      16
15      19
15      16
15      17
16      19
16      17
16      18
17      19
17      18
17      19
18      19
18      19
18      19
