|V|=20, |E|=80

id   workload
0      1
1      265
2      122
3      569
4      677
5      394
6      686
7      534
8      184
9      280
10      627
11      906
12      986
13      796
14      543
15      682
16      306
17      55
18      581
19      1

src    dst
0      18
0      1
0      2
0      3
0      4
0      5
1      11
1      3
1      4
1      6
1      15
1      2
1      5
1      7
2      16
2      5
2      7
2      3
2      4
2      6
3      18
3      4
3      5
3      6
4      8
4      9
4      13
4      14
4      5
4      6
4      7
5      8
5      6
5      7
5      9
6      8
6      7
6      9
6      10
7      16
7      10
7      12
7      8
7      9
7      11
8      16
8      9
8      10
8      11
9      11
9      10
9      12
9      13
10      11
10      12
10      13
11      17
11      12
11      13
12      18
12      13
12      14
13      18
13      14
13      15
14      18
14      15
14      16
15      18
15      16
15      17
16      19
16      17
16      18
17      18
17      19
17      19
18      19
18      19
18      19
