|V|=15, |E|=60

id   workload
0      1
1      671
2      618
3      141
4      924
5      753
6      457
7      132
8      97
9      942
10      37
11      645
12      355
13      897
14      1

src    dst
0      2
0      1
0      12
0      3
0      4
0      5
1      11
1      7
1      2
1      3
1      4
2      11
2      3
2      5
2      4
2      6
2      7
3      4
3      5
3      6
3      7
4      13
4      6
4      5
4      7
4      8
5      8
5      6
5      7
5      9
6      11
6      7
6      8
6      9
7      9
7      8
7      10
7      11
8      13
8      9
8      10
8      11
9      10
9      11
9      12
9      13
10      13
10      11
10      12
10      14
11      14
11      12
11      13
11      14
12      14
12      13
12      14
13      14
13      14
13      14
