|V|=50, |E|=500

id   workload
0      1
1      991
2      504
3      240
4      488
5      274
6      991
7      647
8      764
9      444
10      54
11      589
12      138
13      271
14      129
15      10
16      493
17      617
18      637
19      783
20      810
21      297
22      767
23      295
24      908
25      583
26      352
27      67
28      203
29      61
30      770
31      156
32      911
33      207
34      754
35      588
36      324
37      667
38      111
39      91
40      303
41      342
42      402
43      686
44      646
45      237
46      810
47      69
48      285
49      1

src    dst
0      7
0      1
0      2
0      5
0      15
0      3
0      4
0      6
0      8
0      9
0      10
0      11
0      12
0      13
1      31
1      3
1      4
1      2
1      5
1      6
1      7
1      8
1      9
1      10
1      11
1      12
2      36
2      8
2      16
2      3
2      4
2      5
2      6
2      7
2      9
2      10
2      11
2      12
3      18
3      9
3      4
3      5
3      6
3      7
3      8
3      10
3      11
3      12
3      13
4      10
4      6
4      20
4      5
4      7
4      8
4      9
4      11
4      12
4      13
4      14
4      15
5      33
5      6
5      7
5      8
5      9
5      10
5      11
5      12
5      13
5      14
6      11
6      7
6      8
6      9
6      10
6      12
6      13
6      14
6      15
6      16
7      39
7      38
7      8
7      9
7      10
7      11
7      12
7      13
7      14
7      15
7      16
8      12
8      9
8      10
8      11
8      13
8      14
8      15
8      16
8      17
8      18
9      30
9      13
9      10
9      11
9      12
9      14
9      15
9      16
9      17
9      18
9      19
10      43
10      11
10      12
10      13
10      14
10      15
10      16
10      17
10      18
10      19
11      34
11      17
11      12
11      13
11      14
11      15
11      16
11      18
11      19
11      20
11      21
12      42
12      13
12      14
12      15
12      16
12      17
12      18
12      19
12      20
12      21
13      14
13      15
13      16
13      17
13      18
13      19
13      20
13      21
13      22
13      23
14      36
14      19
14      15
14      16
14      17
14      18
14      20
14      21
14      22
14      23
14      24
15      36
15      28
15      29
15      16
15      17
15      18
15      19
15      20
15      21
15      22
15      23
15      24
16      18
16      24
16      17
16      19
16      20
16      21
16      22
16      23
16      25
16      26
16      27
17      26
17      18
17      19
17      20
17      21
17      22
17      23
17      24
17      25
17      27
18      23
18      19
18      20
18      21
18      22
18      24
18      25
18      26
18      27
18      28
19      21
19      20
19      22
19      23
19      24
19      25
19      26
19      27
19      28
19      29
20      42
20      21
20      22
20      23
20      24
20      25
20      26
20      27
20      28
20      29
21      49
21      22
21      23
21      24
21      25
21      26
21      27
21      28
21      29
21      30
21      31
22      43
22      25
22      23
22      24
22      26
22      27
22      28
22      29
22      30
22      31
22      32
23      39
23      27
23      24
23      25
23      26
23      28
23      29
23      30
23      31
23      32
23      33
24      43
24      25
24      26
24      27
24      28
24      29
24      30
24      31
24      32
24      33
25      39
25      26
25      27
25      28
25      29
25      30
25      31
25      32
25      33
25      34
26      32
26      27
26      28
26      29
26      30
26      31
26      33
26      34
26      35
26      36
27      32
27      28
27      29
27      30
27      31
27      33
27      34
27      35
27      36
27      37
28      35
28      29
28      30
28      31
28      32
28      33
28      34
28      36
28      37
28      38
29      45
29      30
29      31
29      32
29      33
29      34
29      35
29      36
29      37
29      38
30      40
30      31
30      32
30      33
30      34
30      35
30      36
30      37
30      38
30      39
31      34
31      32
31      33
31      35
31      36
31      37
31      38
31      39
31      40
31      41
32      49
32      33
32      34
32      35
32      36
32      37
32      38
32      39
32      40
32      41
33      48
33      34
33      35
33      36
33      37
33      38
33      39
33      40
33      41
33      42
34      37
34      35
34      36
34      38
34      39
34      40
34      41
34      42
34      43
34      44
35      43
35      41
35      36
35      37
35      38
35      39
35      40
35      42
35      44
35      45
35      46
36      44
36      37
36      38
36      39
36      40
36      41
36      42
36      43
36      45
36      46
37      48
37      38
37      39
37      40
37      41
37      42
37      43
37      44
37      45
38      45
38      39
38      40
38      41
38      42
38      43
38      44
38      46
38      47
39      40
39      41
39      42
39      43
39      44
39      45
39      46
39      47
39      48
40      48
40      41
40      42
40      43
40      44
40      45
40      46
40      47
40      49
41      49
41      42
41      43
41      44
41      45
41      46
41      47
41      48
41      49
42      48
42      43
42      44
42      45
42      46
42      47
42      49
42      49
42      49
43      47
43      44
43      45
43      46
43      48
43      49
43      49
43      49
43      49
44      49
44      45
44      46
44      47
44      48
44      49
44      49
44      49
44      49
45      46
45      47
45      48
45      49
45      49
45      49
45      49
45      49
45      49
46      49
46      47
46      48
46      49
46      49
46      49
46      49
46      49
46      49
47      49
47      48
47      49
47      49
47      49
47      49
47      49
47      49
47      49
48      49
48      49
48      49
48      49
48      49
48      49
48      49
48      49
48      49
