|V|=20, |E|=141, |L|=19, CCR=5.51, AvgDeg=14.1

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      782      0.74      19      8      1
2      1535      0.42      8      18      2
3      653      0.28      38      44      3
4      1059      0.49      44      6      4
5      1188      0.68      49      43      5
6      861      0.26      51      26      6
7      148      0.62      29      20      7
8      762      0.22      47      5      8
9      406      0.36      41      30      9
10      861      0.47      6      27      10
11      614      0.18      49      30      11
12      1554      0.15      30      44      12
13      277      0.3      39      39      13
14      267      0.69      6      42      14
15      673      0.41      39      33      15
16      782      0.62      47      24      16
17      643      0.21      43      46      17
18      812      0.45      36      16      18
19      1      0      1      1      19

src    dst    datasize
0      1      975
1      2      894
2      3      531
3      4      552
4      5      252
5      6      906
6      7      283
7      8      232
8      9      551
9      10      1099
10      11      965
11      12      308
12      13      1024
13      14      86
14      15      972
15      16      186
16      17      369
17      18      763
18      19      254
1      3      549
1      4      385
1      5      49
1      6      105
1      7      990
1      8      682
1      9      1068
1      10      87
1      11      861
1      12      823
1      13      480
1      14      1073
1      15      431
1      16      1087
1      17      529
1      18      311
2      4      185
2      5      512
2      6      322
2      7      774
2      8      103
2      9      216
2      10      560
2      11      15
2      12      285
2      13      276
2      14      934
2      15      855
2      16      978
2      17      304
2      18      517
3      5      626
3      6      496
3      7      77
3      8      65
3      9      1081
3      10      974
3      11      901
3      12      788
3      13      973
3      14      907
3      15      366
3      16      792
3      17      138
3      18      553
4      6      355
4      7      950
4      8      543
4      9      32
4      10      716
4      11      198
4      12      755
4      13      150
4      14      401
4      15      519
4      16      908
4      17      1063
4      18      880
5      7      124
5      8      416
5      9      239
5      10      402
5      11      997
5      12      129
5      13      553
5      14      845
5      15      708
5      16      537
5      17      648
5      18      123
6      8      435
6      9      559
6      10      1099
6      11      132
6      12      1066
6      13      417
6      14      580
6      15      1012
6      16      973
6      17      990
6      18      256
7      9      779
7      10      484
7      11      620
7      12      733
7      13      674
7      14      330
7      15      437
7      16      602
7      17      18
7      18      904
8      10      230
8      11      570
8      12      482
8      13      631
8      14      281
8      15      848
8      16      587
8      17      612
8      18      454
9      11      42
9      12      524
9      13      397
9      14      117
9      15      884
9      16      1032
9      17      898
9      18      142
10      12      99
10      13      598
10      14      625
10      15      24
10      16      163
10      17      456
10      18      26
11      13      275
11      14      522
11      15      594
11      16      757
11      17      296
11      18      341
12      14      390
