cost        CG2        HBCS        ScaleStar
2        3481.98        4239.75        3536.73
3        2669.59        3422.4        2670.79
4        2256.91        2617.03        2271.86
5        1856.99        2370.03        1927.04
6        1715.82        2353.03        1717.91
7        1578.12        1846.65        1582.47
8        1468.08        1471.44        1494.6
9        1399.01        1420.09        1494.6
10        1343.2        1391.96        1494.6
11        1280.14        1380.13        1494.6
12        1242.69        1359.12        1494.6
13        1201.27        1327.38        1494.6
14        1170.75        1311.47        1494.6
15        1147.85        1287.43        1494.6
16        1120.72        1261.63        1494.6
17        1101.97        1244.78        1494.6
18        1085.69        1237.68        1494.6
19        1066.43        1237.68        1494.6
20        1051.74        1221.45        1494.6
21        1038.17        1038.17        1494.6
