cost        CG2        HBCS        ScaleStar
1        3627.12        4421.45        3697.46
2        2768.2        3513.65        2770.96
3        2347.66        2583.75        2350.64
4        1927.12        2503.28        1959.35
5        1779.61        2095.64        1787.16
6        1640.68        1833.8        1655.69
7        1522.91        1532.34        1543.99
8        1451.87        1466.28        1543.99
9        1394.93        1446.72        1543.99
10        1330.16        1427.66        1543.99
11        1286.35        1422.61        1543.99
12        1249.53        1398.71        1543.99
13        1215.94        1369.48        1543.99
14        1192.27        1337.11        1543.99
15        1163.83        1316.89        1543.99
16        1144.6        1297.21        1543.99
17        1126.71        1286.3        1543.99
18        1105.96        1284.17        1543.99
19        1090.07        1274        1543.99
20        1074.73        1074.73        1543.99
