cost        CG2        HBCS        ScaleStar
2        3415.82        4127.28        3403.5
3        2604.92        3287.48        2606.84
4        2208.4        2597.7        2211.38
5        1819.6        2367.85        1834.05
6        1675.66        2203.58        1676.37
7        1558.75        1816.83        1544.2
8        1431.32        1444.07        1450.09
9        1364.7        1395.66        1450.09
10        1312.3        1374.07        1450.09
11        1251.02        1360.46        1450.09
12        1213.53        1336.53        1450.09
13        1177.8        1311.65        1450.09
14        1144.3        1289.26        1450.09
15        1121.7        1261.77        1450.09
16        1094.04        1246.66        1450.09
17        1075.67        1230.76        1450.09
18        1057.52        1221.31        1450.09
19        1039.55        1203.74        1450.09
20        1025.55        1201.89        1450.09
21        1010.75        1010.75        1450.09
