cost        CG2        HBCS        ScaleStar
2        3194.8        3880.54        3277.46
3        2446.59        3226.04        2453.81
4        2073.86        2503.11        2081.94
5        1700.08        2174.3        1751.92
6        1570.31        2131.8        1571.58
7        1447.55        1667.49        1462.39
8        1344.77        1349.88        1360.75
9        1278.55        1294.38        1360.75
10        1222.13        1267.83        1360.75
11        1170.33        1266.34        1360.75
12        1137.16        1233.29        1360.75
13        1099.76        1220.26        1360.75
14        1071.29        1200.55        1360.75
15        1049.15        1177.41        1360.75
16        1025.5        1166.47        1360.75
17        1008.42        1147.59        1360.75
18        991.71        1139.21        1360.75
19        975.28        1139.21        1360.75
20        961.78        1127.31        1360.75
21        947.98        947.98        1360.75
