cost        CG2        HBCS        ScaleStar
2        3225.73        3969.9        3299.68
3        2469.65        3129.46        2473.48
4        2084.17        2372.54        2097.99
5        1771.87        2197.44        1774.39
6        1583.81        2143.25        1584.59
7        1474.9        1708.48        1458.4
8        1353.85        1358.35        1371.2
9        1290.31        1312.52        1371.2
10        1239.72        1285.94        1371.2
11        1180.98        1273.31        1371.2
12        1150.09        1251.75        1371.2
13        1111.69        1225.29        1371.2
14        1081.49        1209.24        1371.2
15        1058.84        1193.7        1371.2
16        1031.85        1161.71        1371.2
17        1014.65        1161.71        1371.2
18        999.28        1151.05        1371.2
19        983.05        1146.27        1371.2
20        969.5        1129.63        1371.2
21        955.91        1124.33        1371.2
