cost        CG2        HBCS        ScaleStar
2        4571.8        5449        4625.35
3        3496.55        4484.68        3494.85
4        2960.84        3503.35        2972.1
5        2430.86        3045.2        2487.67
6        2247.97        2875.55        2244
7        2068.76        2363.5        2077.69
8        1919.34        1919.02        1946.29
9        1828.81        1867.87        1946.29
10        1746.78        1840        1946.29
11        1674.85        1808.61        1946.29
12        1621.28        1797.19        1946.29
13        1575.85        1761.77        1946.29
14        1533.16        1734.36        1946.29
15        1500.13        1695.71        1946.29
16        1466.69        1677.4        1946.29
17        1439.7        1645.21        1946.29
18        1416.51        1632.83        1946.29
19        1393.07        1619.42        1946.29
20        1373.95        1601.87        1946.29
21        1355.45        1355.45        1946.29
