cost        CG2        HBCS        ScaleStar
2        3754.58        4613.5        3767.33
3        2881.2        3641.74        2882.69
4        2440.05        2897.14        2448.76
5        2005.49        2824.18        2041.68
6        1853.2        2163.45        1855.6
7        1706.22        1884.72        1707.49
8        1584.49        1610.24        1607.26
9        1510.65        1536.36        1607.26
10        1457.4        1516.53        1607.26
11        1382.44        1475.92        1607.26
12        1339.17        1455.13        1607.26
13        1300.8        1449.02        1607.26
14        1265.73        1431.66        1607.26
15        1237.75        1383.01        1607.26
16        1210.15        1354.79        1607.26
17        1188.96        1346.44        1607.26
18        1171.23        1328.85        1607.26
19        1150.24        1324.68        1607.26
20        1134.01        1324.68        1607.26
21        1118.41        1118.41        1607.26
