cost        CG2        HBCS        ScaleStar
2        4553.58        5487.51        4600.32
3        3489.16        4505.12        3495.11
4        2957.06        3551.78        2963.86
5        2447.06        3110.77        2462.58
6        2245.54        2820.07        2244.62
7        2066.9        2291.87        2067.32
8        1919.07        1940.04        1948.04
9        1830.42        1867.3        1948.04
10        1758.14        1838.37        1948.04
11        1676.84        1824.77        1948.04
12        1623.16        1772.35        1948.04
13        1576.85        1768.63        1948.04
14        1534.45        1732.75        1948.04
15        1502.21        1712.64        1948.04
16        1466.7        1673.57        1948.04
17        1440.81        1646.83        1948.04
18        1420.54        1642.39        1948.04
19        1395.29        1638.06        1948.04
20        1375.5        1604.31        1948.04
21        1356.67        1356.67        1948.04
