cost        CG2        HBCS        ScaleStar
2        4230.6        5204.7        4243.35
3        3233.34        4228.69        3236.95
4        2743.1        3238.65        2741.82
5        2312.29        2889.94        2243.51
6        2078.61        2690.4        2080.67
7        1913.93        2116.65        1915.7
8        1777.64        1781.08        1805.13
9        1695.05        1747.68        1805.13
10        1624.83        1702.21        1805.13
11        1552.08        1680.95        1805.13
12        1505.11        1643.73        1805.13
13        1458.79        1625.85        1805.13
14        1421.01        1601.39        1805.13
15        1390.89        1586.68        1805.13
16        1356.96        1552.75        1805.13
17        1333        1522.54        1805.13
18        1314.03        1506.84        1805.13
19        1291.69        1498.71        1805.13
20        1274.29        1498.71        1805.13
21        1257.14        1257.14        1805.13
