cost        CG2        HBCS        ScaleStar
2        8342.5        12631.22        8366.51
3        5808.93        9517.14        5799.8
4        4931.56        7167.6        4838.76
5        4365.96        4919.61        4805.47
6        4008.48        4034.37        4805.47
7        3764.54        3809.55        4805.47
8        3590.63        3723.29        4805.47
9        3457.55        3653.22        4805.47
10        3360.03        3562.1        4805.47
11        3275.66        3505.86        4805.47
12        3205.58        3464.84        4805.47
13        3146.17        3423.12        4805.47
14        3094.25        3388.58        4805.47
15        3051.94        3361.32        4805.47
16        3015.9        3328.04        4805.47
17        2982.38        3300.16        4805.47
18        2952.83        3281.45        4805.47
19        2926.53        3258.75        4805.47
20        2901.24        3236.34        4805.47
21        2880.5        2880.5        4805.47
