cost        CG2        HBCS        ScaleStar
2        9178.23        13846.21        9186.09
3        6385.48        10736.31        6383.57
4        5421.58        8089.45        5329.64
5        4790.63        5233.02        5297.55
6        4403.18        4507.36        5297.55
7        4146.74        4195.22        5297.55
8        3953.3        4109        5297.55
9        3807.71        4022.76        5297.55
10        3706.27        3935.75        5297.55
11        3608.81        3867.54        5297.55
12        3529.11        3808.7        5297.55
13        3463.02        3767.11        5297.55
14        3406.83        3729.91        5297.55
15        3359.68        3704.03        5297.55
16        3319.64        3668.1        5297.55
17        3284.19        3633.57        5297.55
18        3252.06        3606.82        5297.55
19        3221.7        3581.54        5297.55
20        3196.19        3565.03        5297.55
21        3172.75        3172.75        5297.55
