cost        CG2        HBCS        ScaleStar
2        9418.18        14074.83        9431.56
3        6547.8        10660.45        6548.65
4        5519.23        8021.2        5450.3
5        4910.89        5354.32        5426.11
6        4513.88        4596.76        5426.11
7        4248.45        4297.9        5426.11
8        4051.24        4202.52        5426.11
9        3902.84        4117.54        5426.11
10        3795.3        4043.12        5426.11
11        3698.48        3967.26        5426.11
12        3618.83        3912.31        5426.11
13        3550.06        3870.78        5426.11
14        3493.09        3824.06        5426.11
15        3444.86        3797.28        5426.11
16        3403.83        3760.12        5426.11
17        3366.27        3728.3        5426.11
18        3333.47        3692.1        5426.11
19        3304.11        3675.29        5426.11
20        3275.41        3661.94        5426.11
21        3252.38        3252.38        5426.11
