cost        CG2        HBCS        ScaleStar
1        7818.04        11675.69        7817.61
2        5598.69        8627.77        5536.78
3        4655.83        6576.05        4662.98
4        4105.88        5121.24        4318.52
5        3756.47        3791.32        4318.52
6        3546.93        3589.8        4318.52
7        3360.43        3459.18        4318.52
8        3224.1        3380.23        4318.52
9        3120.38        3325.08        4318.52
10        3038.78        3278.84        4318.52
11        2966.01        3228.13        4318.52
12        2906.11        3191.34        4318.52
13        2860.16        3146.89        4318.52
14        2815.15        3123.23        4318.52
15        2776.19        3082.33        4318.52
16        2741.31        3057.41        4318.52
17        2713.41        3031.87        4318.52
18        2686.59        3009.13        4318.52
19        2661.99        2988.52        4318.52
20        2639.51        2639.51        4318.52
