cost        CG2        HBCS        ScaleStar
1        7940.09        11831.99        7946.04
2        5617.89        8635.56        5639.99
3        4728.5        6501.38        4731.83
4        4170.76        5348.38        4387.76
5        3812.58        3816.4        4387.76
6        3592.39        3644.35        4387.76
7        3412.15        3513.31        4387.76
8        3272.4        3424.34        4387.76
9        3166.34        3376.22        4387.76
10        3086        3322.45        4387.76
11        3012.2        3285.89        4387.76
12        2951.12        3234.62        4387.76
13        2901.4        3200.57        4387.76
14        2857.27        3162.94        4387.76
15        2817.16        3136.42        4387.76
16        2783.4        3104.63        4387.76
17        2754.25        3081.31        4387.76
18        2727.46        3066.29        4387.76
19        2701.83        3039.66        4387.76
20        2680.53        2680.53        4387.76
