cost        CG2        HBCS        ScaleStar
2        1063        1055.7        1005.12
3        802.26        939.25        845.75
4        690.62        814.38        742.9
5        611.79        720.88        624.75
6        545.35        580.62        572.05
7        485.21        572.05        494.49
8        468.35        494.49        468.35
9        433.36        484.78        446.39
10        411.4        424.93        411.4
11        393.9        407.5        385.55
12        367.77        391.82        385.55
13        365.85        387.61        376.83
14        352.37        387.61        376.83
15        339.65        387.61        376.83
16        333.5        365.65        376.83
17        328.7        363.12        376.83
18        320.58        363.12        376.83
19        311.38        363.12        376.83
20        303.62        363.12        376.83
21        303.62        303.62        376.83
