cost        CG2        HBCS        ScaleStar
2        1405.52        1702.18        1516.45
3        1035.56        1429.54        1231.7
4        991.79        1336.68        991.79
5        886.6        1051.92        898.93
6        756.55        898.93        898.93
7        665.67        799.69        799.69
8        665.67        776.38        680.05
9        632.59        664.61        651.08
10        587.05        608.72        620.12
11        547.17        594.34        594.62
12        530.63        582.84        561.55
13        530.63        551.88        547.17
14        515.15        551.88        547.17
15        493.48        544.23        547.17
16        477.99        515.26        547.17
17        476.41        498.72        547.17
18        463.15        498.72        547.17
19        452.82        498.72        547.17
20        440.86        498.72        547.17
21        440.86        440.86        547.17
