cost        CG2        HBCS        ScaleStar
2        882.28        1035.49        1016.15
3        792.6        939.22        672.75
4        595.82        864.85        627.91
5        519.96        764.55        595.82
6        460.18        711        508.49
7        460.18        508.49        424.13
8        413.43        508.49        424.13
9        380.07        479.38        409.18
10        341.25        366.89        398.48
11        337.92        366.89        341.25
12        318.12        352.83        341.25
13        326.69        344.4        341.25
14        307.29        344.4        341.25
15        296.43        344.4        341.25
16        287.99        344.4        341.25
17        295.33        344.4        341.25
18        286.6        344.4        341.25
19        274.95        329.45        341.25
20        274.95        329.45        341.25
21        274.95        274.95        341.25
