cost        CG2        HBCS        ScaleStar
2        780.89        817.44        817.44
3        583.8        764.32        585.46
4        535.1        719.27        543.18
5        471.78        604.63        486.37
6        414.51        438.62        429.42
7        369.18        428.96        369.92
8        369.18        428.68        369.92
9        349.35        369.18        352.21
10        330.36        350.2        319.13
11        297.91        330.39        298.38
12        287.72        315.23        298.38
13        288.46        314.5        298.38
14        278.23        299.48        298.38
15        269.38        281.77        298.38
16        261.87        281.77        298.38
17        261.87        281.77        298.38
18        255.92        281.77        298.38
19        245.72        281.77        298.38
20        240.41        281.77        298.38
21        240.41        240.41        298.38
