cost        CG2        HBCS        ScaleStar
2        969        1014.88        903.53
3        888.25        910.54        766.28
4        589.98        756.05        593.7
5        557.18        664.91        561.82
6        516.8        470.34        471.51
7        516.8        486.9        442.35
8        405.04        488.3        406.2
9        371.07        413.22        392.75
10        351.26        398.73        368.24
11        337.8        417.13        332.11
12        331.08        350.86        337.71
13        318.46        323.77        332.11
14        303.18        333.84        332.11
15        293.27        323.77        332.11
16        281.45        323.77        332.11
17        288.8        323.77        332.11
18        278.65        323.77        332.11
19        271        323.77        332.11
20        266.96        310.31        332.11
21        266.96        266.96        332.11
