cost        CG2        HBCS        ScaleStar
1        1106        1093.68        1087.51
2        1106        999.02        749
3        635.95        806.5        629.79
4        635.95        690.14        629.79
5        635.95        576.66        524.09
6        635.95        570.5        524.09
7        431.01        533.7        431.01
8        400.92        421.68        409.9
9        400.92        399.99        377.82
10        400.92        399.99        377.82
11        400.92        367.9        346.79
12        330.75        367.9        346.79
13        322.58        352.39        346.79
14        322.58        352.39        346.79
15        322.58        331.28        346.79
16        304.68        331.28        346.79
17        288.72        331.28        346.79
18        283.41        331.28        346.79
19        283.41        331.28        346.79
20        279.42        279.42        346.79
