cost        CG2        HBCS        ScaleStar
2        803        998.74        884.2
3        803        871.66        629.62
4        581.49        778.8        587.76
5        483.53        690.82        583.58
6        449.19        690.82        490.72
7        449.19        494.9        490.72
8        392.76        396.94        392.76
9        360.1        364.28        392.76
10        323.55        347.96        352.03
11        307.23        347.96        352.03
12        291.75        317        319.38
13        308.08        307.21        319.38
14        293.14        297.43        319.38
15        276.41        297.43        319.38
16        269.95        297.43        319.38
17        277.66        297.43        319.38
18        267.86        297.43        319.38
19        257.33        297.43        319.38
20        257.33        297.43        319.38
21        257.33        257.33        319.38
