cost        CG2        HBCS        ScaleStar
2        1887.55        2180.8        2066.48
3        1553.92        1876.71        1567.95
4        1305.09        1842.71        1318.05
5        1207.98        1604.5        1216.69
6        1100.02        1125.95        1125.95
7        957.86        1128.93        1028.84
8        886.68        935.05        886.68
9        823.42        833.83        823.42
10        808.19        793.46        823.42
11        751.81        793.46        772.7
12        721.1        785.38        740.33
13        696.52        755.14        713.42
14        670.1        755.14        713.42
15        655.69        711.11        713.42
16        631.99        711.11        713.42
17        620.65        711.11        713.42
18        606.94        681.65        713.42
19        598.23        665.46        713.42
20        581.31        665.46        713.42
21        574.81        574.81        713.42
