cost        CG2        HBCS        ScaleStar
2        1257.5        1474.68        1322.52
3        909.85        1207.78        1044.15
4        852.9        1114.91        879.68
5        749.2        746.23        783.41
6        656.34        763.23        685.88
7        581.18        728.66        582.18
8        577.08        728.66        578.78
9        542.51        607.96        554.05
10        511.55        547.61        523.1
11        477.91        517.43        488.53
12        473.13        511.4        488.53
13        455.64        483.08        468.42
14        439.38        463.52        468.42
15        422.88        463.52        468.42
16        413.53        463.52        468.42
17        407.48        463.52        468.42
18        397.11        463.52        468.42
19        387.82        452.32        468.42
20        377.41        435.04        468.42
21        377.41        377.41        468.42
