cost        CG2        HBCS        ScaleStar        OPT
1        377.88        379.58        379.58        377.88
2        352.38        326.45        326.45        326.45
3        247.82        353.86        247.82        247.82
4        247.82        275.24        247.82        247.82
5        221.26        222.11        222.11        221.26
6        208.51        222.11        222.11        208.51
7        181.95        182.8        182.8        181.95
8        181.95        182.8        182.8        181.95
9        156.24        222.82        156.24        156.24
10        156.24        169.7        156.24        156.24
11        143.13        143.13        147.67        143.13
12        143.13        143.13        138.81        138.81
13        134.28        134.28        134.56        134.28
14        125.71        134.28        125.71        125.71
15        125.71        129.85        125.71        125.71
16        121.28        129.85        125.71        121.28
17        119.16        129.85        125.71        119.16
18        119.16        129.85        125.71        117
19        114.73        129.85        125.71        114.73
20        110.44        110.44        125.71        110.44
