cost        CG2        HBCS        ScaleStar        OPT
1        952.52        952.52        952.52        952.52
2        779.55        779.55        779.55        779.55
3        632.5        632.5        632.5        632.5
4        632.5        840.54        632.5        632.5
5        546.01        546.01        546.01        546.01
6        546.01        619.32        546.01        546.01
7        472.28        472.28        472.28        472.28
8        472.28        472.28        472.28        472.28
9        398.75        398.75        398.75        398.75
10        398.75        447.7        398.75        398.75
11        369.92        374.17        369.92        369.92
12        369.92        374.17        369.92        369.92
13        345.34        349.66        345.34        345.34
14        345.34        349.66        345.34        337.37
15        320.83        337.41        320.83        320.83
16        320.83        337.41        320.83        320.83
17        306.42        308.58        320.83        306.42
18        306.42        308.58        320.83        296.29
19        294.13        308.58        320.83        294.13
20        281.88        281.88        320.83        281.88
