cost        CG2        HBCS        ScaleStar        OPT
1        1009.68        1009.68        1009.68        1009.68
2        806.53        806.53        806.53        806.53
3        626.75        766.36        626.75        626.75
4        586.59        785.28        586.59        586.59
5        573.2        704.95        573.2        573.2
6        525.18        664.79        525.18        525.18
7        485.01        485.01        485.01        485.01
8        435.29        485.01        471.63        435.29
9        395.12        395.12        395.12        395.12
10        381.74        395.12        381.74        381.74
11        365.16        365.16        381.74        365.16
12        361.27        365.16        361.27        351.78
13        347.88        361.27        347.88        345.08
14        331.3        331.3        347.88        331.3
15        317.92        331.3        317.92        317.92
16        311.22        316.32        317.92        311.22
17        300.99        316.32        317.92        300.99
18        294.29        316.32        317.92        294.29
19        294.29        302.94        317.92        294.29
20        279.31        279.31        317.92        279.31
