cost        CG2        HBCS        ScaleStar        OPT
1        356.22        371.95        356.22        356.22
2        343.69        346.88        343.76        343.69
3        230        245.72        230        230
4        217.46        220.65        220.65        217.46
5        205        205        205        205
6        200.82        200.82        200.82        200.82
7        166.89        166.89        166.89        166.89
8        157.54        157.54        157.54        154.35
9        141.88        145        145        141.88
10        137.7        137.7        137.7        137.7
11        135.61        170.92        137.7        135.61
12        134.06        136.5        137.7        133.31
13        123.96        123.96        123.96        123.96
14        119.29        120.85        120.85        116.67
15        114.58        160.41        116.67        114.58
16        113.02        125.98        116.67        113.02
17        113.02        113.44        116.67        113.02
18        113.02        110.33        116.67        109.26
19        106.15        106.15        116.67        106.15
20        104.06        104.06        116.67        104.06
