cost        CG2        HBCS        ScaleStar        OPT
1        813.91        813.91        813.91        813.91
2        644.12        666.01        644.12        644.12
3        496.22        627.76        496.22        496.22
4        474.41        479.86        474.41        474.41
5        471.68        479.86        474.41        455
6        403.15        534.69        405.91        403.15
7        381.33        386.79        381.33        381.33
8        378.61        503.66        381.33        361.92
9        312.84        503.66        312.84        312.84
10        304.66        355.76        307.38        304.66
11        288.19        355.76        307.38        288.19
12        276.36        281.81        276.36        276.36
13        273.63        281.81        276.36        273.63
14        257.16        257.16        276.36        257.16
15        248.98        257.16        251.71        248.98
16        248.98        257.16        251.71        248.98
17        239.38        244.84        251.71        239.38
18        233.47        244.84        251.71        233.47
19        233.47        244.84        251.71        229.33
20        221.14        221.14        251.71        221.14
