cost        CG2        HBCS        ScaleStar        OPT
1        813.82        813.82        813.82        813.82
2        665.5        672.72        672.72        665.5
3        524.4        524.4        524.4        524.4
4        524.4        602.18        524.4        524.4
5        450.24        453.85        453.85        450.24
6        450.24        453.85        453.85        450.24
7        401.15        477.86        404.76        401.15
8        379.69        379.69        379.69        379.69
9        330.6        453.14        330.6        330.6
10        330.6        354.97        314.24        314.24
11        305.88        305.88        307.08        305.88
12        305.88        305.88        307.08        305.88
13        282.36        289.52        282.36        282.36
14        282.36        281.34        282.36        281.34
15        266        281.34        266        266
16        257.82        257.82        266        257.82
17        253.64        257.82        266        253.64
18        245.46        257.82        266        245.46
19        241.88        257.82        266        241.88
20        233.7        233.7        266        233.7
